epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2573.06,1.42391,0.92314,1.28423,0.78881,0.57356,0.66836,0.28779,2.03374,1.23046,1.52271,0.0005941,0.0005941,0.0005941
43,2997.19,1.46584,0.90785,1.30139,0.7617,0.63353,0.69226,0.29149,2.06288,1.19544,1.51199,0.0005842,0.0005842,0.0005842
44,3421.02,1.42596,0.87732,1.27766,0.78156,0.60979,0.68296,0.27353,2.18387,1.17633,1.55148,0.0005743,0.0005743,0.0005743
45,3846.66,1.4226,0.88018,1.27469,0.77954,0.55786,0.65013,0.27182,2.11375,1.30751,1.52232,0.0005644,0.0005644,0.0005644
46,4271.73,1.3836,0.85411,1.25433,0.76456,0.58234,0.64703,0.2933,2.01509,1.22433,1.51325,0.0005545,0.0005545,0.0005545
47,4701.48,1.3699,0.85876,1.25726,0.7844,0.59421,0.68368,0.30655,2.01271,1.19249,1.49213,0.0005446,0.0005446,0.0005446
48,5125.7,1.40553,0.85796,1.24007,0.79617,0.59983,0.68247,0.30128,2.00126,1.18508,1.49086,0.0005347,0.0005347,0.0005347
49,5554.93,1.36991,0.85497,1.24984,0.7678,0.59361,0.67692,0.31266,1.94797,1.15115,1.48057,0.0005248,0.0005248,0.0005248
50,5986.65,1.41627,0.84841,1.23214,0.77113,0.59988,0.67343,0.29142,2.02821,1.19359,1.49239,0.0005149,0.0005149,0.0005149
51,6416.29,1.35162,0.83692,1.2359,0.7767,0.6038,0.67933,0.29933,1.99765,1.15785,1.48729,0.000505,0.000505,0.000505
52,6904.6,1.36801,0.82891,1.22511,0.768,0.56454,0.64857,0.30893,1.86956,1.21327,1.46309,0.0004951,0.0004951,0.0004951
50,424.192,1.32883,0.84157,1.25535,0.83181,0.65621,0.74104,0.37109,1.77767,1.13022,1.36172,0.0005149,0.0005149,0.0005149
51,859.383,1.38181,0.86222,1.24985,0.84349,0.65406,0.74707,0.38836,1.74024,1.10113,1.35701,0.000505,0.000505,0.000505
52,1312.44,1.42607,0.88268,1.25357,0.84542,0.68015,0.75742,0.39333,1.73243,1.05095,1.35359,0.0004951,0.0004951,0.0004951
53,1742.12,1.40301,0.86272,1.23353,0.84085,0.66451,0.73866,0.3644,1.81038,1.1414,1.37384,0.0004852,0.0004852,0.0004852
54,2167.13,1.34353,0.83229,1.21913,0.8526,0.66144,0.73852,0.37725,1.78388,1.12829,1.37828,0.0004753,0.0004753,0.0004753
55,2598.19,1.35626,0.81912,1.22274,0.84265,0.69957,0.77982,0.38242,1.7847,1.00826,1.36013,0.0004654,0.0004654,0.0004654
